date,Incidence
2026-03-18,0.3999777777777778
2026-03-19,0.3941237235766359
2026-03-20,0.4010109346604151
2026-03-21,0.4177352786915597
2026-03-22,0.44238191027058427
2026-03-23,0.4737294582905914
2026-03-24,0.5110461342736715
2026-03-25,0.5539495267237973
2026-03-26,0.60231055084116
2026-03-27,0.6561880459973548
2026-03-28,0.7157846816787442
2026-03-29,0.7814177177461982
2026-03-30,0.8535001622063968
2026-03-31,0.93252925277574406
2026-04-01,1.0190801466045056
2026-04-02,1.1138033665809806
2026-04-03,1.2174250132844067
2026-04-04,1.3307490716236587
2026-04-05,1.4546613638975
2026-04-06,1.5901348564878541
2026-04-07,1.7382361364483856
2026-04-08,1.900132951273637
2026-04-09,2.0771027600958027
2026-04-10,2.270542284356384
2026-04-11,2.4819780754140814
2026-04-12,2.7130781388824277
2026-04-13,2.9656646730241514
2026-04-14,3.241727992838544
2026-04-15,3.543441723643187
2026-04-16,3.87317935870613
2026-04-17,4.233532285317589
2026-04-18,4.6273293929140795
2026-04-19,5.057658385664896
2026-04-20,5.527888930383884
2026-04-21,6.041697778739985
2026-04-22,6.603096010439345
2026-04-23,7.2164585512050055
2026-04-24,7.886556125785865
2026-04-25,8.618589811612635
2026-04-26,9.418228362734148
2026-04-27,10.291648475872709
2026-04-28,11.245578170289214
2026-04-29,12.28734344998472
2026-04-30,13.424918409781997
2026-05-01,14.66697893506322
2026-05-02,16.022960127231965
2026-05-03,17.503117561943967
2026-05-04,19.118592453181225
2026-05-05,20.88148075140582
2026-05-06,22.804906146067992
2026-05-07,24.903096869023457
2026-05-08,27.19146610288097
2026-05-09,29.68669568342251
2026-05-10,32.40682264396833
2026-05-11,35.37132797729231
2026-05-12,38.601226782228686
2026-05-13,42.11915871164286
2026-05-14,45.94947733954711
2026-05-15,50.11833671084369
2026-05-16,54.65377291999676
2026-05-17,59.58577807706126
2026-05-18,64.94636345301103
2026-05-19,70.76960794353117
2026-05-20,77.09168724442394
2026-05-21,83.95087828698387
2026-05-22,91.38753253490417
2026-05-23,99.44401069577111
2026-05-24,108.16457025530589
2026-05-25,117.59519601352048
2026-05-26,127.78336251048687
2026-05-27,138.7777159093294
2026-05-28,150.62766160476448
2026-05-29,163.38284261593515
2026-05-30,177.09249279506253
2026-05-31,191.80464815945496
2026-06-01,207.5651993872711
2026-06-02,224.41676889725827
2026-06-03,242.3973971888308
2026-06-04,261.5390255202076
2026-06-05,281.86576585424547
2026-06-06,303.3919546375846
2026-06-07,326.1199947450559
2026-06-08,350.03800015246895
2026-06-09,375.1172708834527
2026-06-10,401.3096416991778
2026-06-11,428.5447668914195
2026-06-12,456.7274251879672
2026-06-13,485.734952644436
2026-06-14,515.4149365142289
2026-06-15,545.5833279826755
2026-06-16,576.0231542670264
2026-06-17,606.484028263612
2026-06-18,636.6826634549149
2026-06-19,666.3045995526026
2026-06-20,695.0073265932753
2026-06-21,722.424958449631
2026-06-22,748.1745483399615
2026-06-23,771.8640577940239
2026-06-24,793.1018877694756
2026-06-25,811.5077601875983
2026-06-26,826.7246073489893
2026-06-27,838.4309961243987
